id;title;message;type;recipient_role;is_read;target_route;created_date
1;rapide;../fake-data/blob/hipster.txt;SYSTEM;CLIENT;true;de peur que à la merci avare;2026-08-22T14:28:05
2;énorme pater debout;../fake-data/blob/hipster.txt;TICKET;CLIENT;false;ressentir fonctionnaire puisque;2026-08-22T07:20:22
3;consoler;../fake-data/blob/hipster.txt;SYSTEM;ADMIN;true;vis-à-vie de;2026-08-22T08:22:19
4;hystérique rallier à l'entour de;../fake-data/blob/hipster.txt;TICKET;ADMIN;false;fourbe;2026-08-22T04:43:40
5;énorme;../fake-data/blob/hipster.txt;PROMO;CLIENT;false;aux alentours de vis-à-vie de tsoin-tsoin;2026-08-21T20:33:51
6;devant;../fake-data/blob/hipster.txt;PROMO;CLIENT;false;ah;2026-08-22T10:36:25
7;aïe fidèle vivace;../fake-data/blob/hipster.txt;SYSTEM;COIFFEUR;false;aussitôt que;2026-08-21T18:23:18
8;de sorte que;../fake-data/blob/hipster.txt;TICKET;ADMIN;false;identifier régler résulter;2026-08-21T18:10:26
9;antique hors que;../fake-data/blob/hipster.txt;PROMO;ADMIN;false;avare dans la mesure où;2026-08-22T16:32:19
10;hystérique;../fake-data/blob/hipster.txt;PROMO;CLIENT;false;recta coin-coin trop;2026-08-22T04:56:04
11;toucher hôte rose;../fake-data/blob/hipster.txt;SYSTEM;CLIENT;true;touchant;2026-08-22T06:38:00
12;au lieu de sitôt que;../fake-data/blob/hipster.txt;TICKET;ADMIN;true;envelopper en;2026-08-22T14:29:41
13;secouriste;../fake-data/blob/hipster.txt;SYSTEM;ADMIN;false;aussitôt que;2026-08-22T11:50:59
14;tchou tchouu areu areu diététiste;../fake-data/blob/hipster.txt;PROMO;ADMIN;true;au prix de;2026-08-22T01:18:37
15;marron comme;../fake-data/blob/hipster.txt;SYSTEM;COIFFEUR;true;si bien que considérable;2026-08-21T23:44:12
16;police;../fake-data/blob/hipster.txt;TICKET;CLIENT;false;avant que;2026-08-21T22:47:43
17;au-dessous antique décharger;../fake-data/blob/hipster.txt;TICKET;COIFFEUR;true;du côté de;2026-08-22T07:59:23
18;athlète;../fake-data/blob/hipster.txt;PROMO;ADMIN;true;pourvu que vaste;2026-08-22T00:32:38
19;que expédier;../fake-data/blob/hipster.txt;SYSTEM;CLIENT;true;raisonner;2026-08-22T05:12:15
20;joliment pff;../fake-data/blob/hipster.txt;PROMO;COIFFEUR;true;rapide antagoniste en bas de;2026-08-22T06:24:26
21;administration;../fake-data/blob/hipster.txt;PROMO;COIFFEUR;false;spécialiste jeune enfant à condition que;2026-08-21T23:51:29
22;situer mélancolique pschitt;../fake-data/blob/hipster.txt;PROMO;CLIENT;true;si avant que pff;2026-08-22T15:24:50
23;passer;../fake-data/blob/hipster.txt;PROMO;ADMIN;true;tsoin-tsoin rechercher vlan;2026-08-22T03:58:30
24;commis;../fake-data/blob/hipster.txt;TICKET;COIFFEUR;true;vouh;2026-08-22T07:30:16
25;cot cot actionnaire;../fake-data/blob/hipster.txt;SYSTEM;ADMIN;false;blablabla blablabla;2026-08-21T21:18:42
26;pacifique diététiste;../fake-data/blob/hipster.txt;SYSTEM;CLIENT;false;propre impromptu;2026-08-21T19:22:50
27;entre entre-temps;../fake-data/blob/hipster.txt;PROMO;COIFFEUR;true;quelque circulaire main-d’œuvre;2026-08-22T02:17:43
28;de sorte que;../fake-data/blob/hipster.txt;SYSTEM;ADMIN;true;splendide vider à même;2026-08-22T10:56:04
29;si également afin que;../fake-data/blob/hipster.txt;SYSTEM;COIFFEUR;true;glouglou d’autant que quoique;2026-08-21T19:52:07
30;commettre calme jusqu’à ce que;../fake-data/blob/hipster.txt;SYSTEM;CLIENT;true;antagoniste;2026-08-22T02:25:54
