id;quantity;unit_price;product_title;product_id;order_id
1;22253;25015;vorace gigantesque;1;1
2;8666;29099;camarade depuis tic-tac;2;2
3;12581;13019;ouch main-d’œuvre;3;3
4;24476;18560;derrière suffisamment;4;4
5;28592;1895;là-haut;5;5
6;3988;14376;également lectorat;6;6
7;3678;7490;tant que horrible;7;7
8;13333;25972;si chut;8;8
9;15976;415;broum suffisamment;9;9
10;29765;25062;de sorte que communauté étudiante;10;10
11;17172;22956;engendrer;11;11
12;18596;16909;large;12;12
13;24212;8670;plier secours moderne;13;13
14;28033;12020;plic;14;14
15;9929;9018;pourvu que lâche à même;15;15
16;26554;11649;à force de prou;16;16
17;25911;26608;prestataire de services orienter;17;17
18;13412;764;dès que chef;18;18
19;11960;21198;areu areu;19;19
20;4976;16734;finir;20;20
21;19598;649;mince atchoum;21;21
22;19312;16383;simple électorat;22;22
23;29230;10821;si bien que durant;23;23
24;15062;26266;vu que abîmer;24;24
25;16308;8747;sus croâ;25;25
26;9093;18281;hi vaste au cas où;26;26
27;4657;8925;boum;27;27
28;11130;10919;lâche vide;28;28
29;14550;25208;volontiers gigantesque ouille;29;29
30;17558;17067;parmi;30;30
