id;app_name;contact_email;contact_phone;commission_rate;opening_time;closing_time;allow_relative_booking;maintenance_mode
1;ha ha psitt pénétrer;biathlète certainement;ouf circuler libérer;79.65;cocorico d;raide comb;true;true
2;jusqu’à ce que;de la part de secours;promouvoir céder;97.72;brave;proche pac;false;false
3;sacrifier;mélancolique;mince;64.37;rectorat d;plouf mala;true;true
4;perplexe lunatique;exprimer fort;hôte drelin;47.13;croâ recto;convenir a;true;false
5;inspirer rejeter cot cot;tant que pin-pon mélancolique;dissocier de par euh;34.81;pour que d;main-d’œuv;true;false
6;adversaire;plic pschitt;au point que quasi grrr;39.94;mature;au dépens ;false;false
7;à raison de écrire tellement;prout bien plouf;personnel professionnel;4.92;de alors q;triangulai;false;false
8;avant que de peur que;à peu près;considérable ainsi;49.64;jeune enfa;de manière;false;true
9;vouh;oups depuis;à défaut de via;95.15;clac entre;snob;true;true
10;à demi adorable;au dépens de;au dépens de;15.28;à l'insu d;adversaire;false;false
11;personnel professionnel police quoique;altruiste;responsable;61.97;au-devant ;dès que in;false;true
12;bang psitt à cause de;derrière tant que;bien que si quasiment;72.8;bondir ha;plus;true;true
13;simple;au moyen de;sauver parmi céans;3.04;à raison d;hôte jaill;false;true
14;altruiste;alors que large;tchou tchouu sans doute;16.39;ci pin-pon;chef parle;true;true
15;sans que;administration tic-tac;contempler triathlète oups;14.35;gens dedan;pin-pon bi;true;false
16;à la faveur de délectable en vérité;magenta;délégation;97.63;verser tra;toc-toc pl;false;false
17;cocorico hôte du moment que;par de façon à;chef psitt si;19.4;environ;au dépens ;false;false
18;tant à force de de manière à ce que;du côté de;secours sincère corner;33.95;administra;d’autant q;false;false
19;espérer par suite de tic-tac;chez d'avec;près de jusqu’à ce que;87.09;cot cot co;si diploma;true;false
20;de manière à sans;près gens;hors;87.03;magnifique;de peur qu;true;false
21;hormis;alors que;chez;62.07;délectable;assez même;false;false
22;miaou communauté étudiante;rêver que;hôte de façon à;41;rudement;quelque;true;true
23;loin substituer;de façon à ce que orange;voyager de façon à ce que;61.1;imprimer d;émérite av;true;false
24;mélancolique habile contester;à seule fin de évoluer groin groin;présidence prestataire de serv;98.5;apparemmen;hormis;false;false
25;avare;émérite candide de façon à ce que;équipe de recherche gai moyenn;17.96;minuscule ;bien que;false;true
26;minuscule;absolument;à côté de;8.86;rédaction ;dès que;true;false
27;large tic-tac de crainte que;aligner devant;sans;68.92;derechef a;combiner;false;false
28;au dépens de;retrouver présidence rédaction;vorace suivre;42.65;de façon q;chez recto;false;true
29;perplexe bzzz;délégation cyan;presque si bien que;4.85;aïe sécula;interrompr;true;true
30;exprès meuh;devant après que jeune enfant;incognito ensemble cyan;42.99;avant que;secouriste;false;true
