id;brand;title;description;price;old_price;rating;in_stock;created_date;last_modified_date;category_id
1;peut-être;proche de autour quant à;../fake-data/blob/hipster.txt;17359;26997;0.38;false;2026-08-22T05:58:08;2026-08-22T08:21:25;1
2;lorsque habiller direction;proche de;../fake-data/blob/hipster.txt;32020;19550;2.93;true;2026-08-22T16:17:11;2026-08-22T02:06:01;2
3;apte;nonobstant sus direction;../fake-data/blob/hipster.txt;19798;4120;4.65;true;2026-08-22T14:19:42;2026-08-22T04:42:20;3
4;croâ diététiste;infime déjà;../fake-data/blob/hipster.txt;25902;11426;0.61;false;2026-08-22T00:27:51;2026-08-21T20:11:50;4
5;beaucoup cogner tellement;équipe de recherche secours essuyer;../fake-data/blob/hipster.txt;32252;5185;4.07;false;2026-08-22T13:25:51;2026-08-21T18:10:22;5
6;à l'insu de avare;plic;../fake-data/blob/hipster.txt;16536;28200;3.17;true;2026-08-22T11:37:41;2026-08-22T06:46:25;6
7;prout;zzzz sympathique;../fake-data/blob/hipster.txt;15553;13831;0.83;true;2026-08-22T08:49:21;2026-08-22T16:32:33;7
8;débile tic-tac avant;rater de crainte que amorphe;../fake-data/blob/hipster.txt;5859;18210;3.23;true;2026-08-21T22:43:22;2026-08-22T13:22:12;8
9;hé par suite de;sortir voir triangulaire;../fake-data/blob/hipster.txt;16124;6530;2.71;false;2026-08-21T23:17:23;2026-08-22T15:40:47;9
10;mordre;au point que après que de peur que;../fake-data/blob/hipster.txt;13404;20261;1.39;true;2026-08-22T01:56:24;2026-08-21T21:00:34;10
11;devant personnel;paf;../fake-data/blob/hipster.txt;31735;25348;2.35;true;2026-08-22T08:09:42;2026-08-22T08:08:59;11
12;élever direction;coin-coin blablabla miam;../fake-data/blob/hipster.txt;28718;1498;2.01;true;2026-08-21T19:33:55;2026-08-22T08:25:43;12
13;si bien que régler à peu près;guide de peur que;../fake-data/blob/hipster.txt;15414;6877;3.47;true;2026-08-22T01:57:04;2026-08-21T20:03:54;13
14;hebdomadaire;diablement encore marron;../fake-data/blob/hipster.txt;6811;24090;3.82;false;2026-08-22T11:22:23;2026-08-22T12:44:13;14
15;adresser;vouh pratiquer à peine;../fake-data/blob/hipster.txt;22966;1625;0.09;true;2026-08-21T23:43:15;2026-08-21T23:21:33;15
16;quitte à triste;grrr au-dedans de comme;../fake-data/blob/hipster.txt;1345;5164;3;true;2026-08-21T23:50:14;2026-08-22T04:57:11;16
17;biathlète ouah reprendre;en dépit de d’autant que areu areu;../fake-data/blob/hipster.txt;26047;13146;4.12;false;2026-08-22T09:59:06;2026-08-22T18:02:37;17
18;tranquille dring;à travers parce que psitt;../fake-data/blob/hipster.txt;6403;11081;1.64;false;2026-08-22T01:12:38;2026-08-21T19:59:06;18
19;vers population du Québec géométrique;collègue en dehors de outre;../fake-data/blob/hipster.txt;23986;25940;4.76;false;2026-08-22T02:59:08;2026-08-21T19:32:26;19
20;affable;dans la mesure où;../fake-data/blob/hipster.txt;32765;4532;0.81;false;2026-08-22T12:17:48;2026-08-22T05:07:07;20
21;accompagner vide triste;puisque cot cot;../fake-data/blob/hipster.txt;13781;30077;0.21;true;2026-08-22T02:33:55;2026-08-22T04:11:10;21
22;après que d'après;jusqu’à ce que;../fake-data/blob/hipster.txt;22728;25208;3.86;true;2026-08-22T15:07:17;2026-08-22T03:54:50;22
23;administration;électorat;../fake-data/blob/hipster.txt;16193;28010;0.82;true;2026-08-22T03:50:30;2026-08-22T17:24:13;23
24;secouriste;sale;../fake-data/blob/hipster.txt;1681;19798;2.84;true;2026-08-22T09:10:14;2026-08-22T01:23:24;24
25;cuicui membre titulaire;de façon à ce que;../fake-data/blob/hipster.txt;2650;12297;3.32;true;2026-08-22T01:26:58;2026-08-22T06:39:14;25
26;toc-toc par rapport à ouf;près de à l'insu de derrière;../fake-data/blob/hipster.txt;28157;7453;4.08;true;2026-08-21T22:29:01;2026-08-21T19:39:17;26
27;lever;loin de timide fidèle;../fake-data/blob/hipster.txt;410;6622;4.31;false;2026-08-22T16:10:30;2026-08-22T11:51:22;27
28;croâ bien à l'insu de;altruiste cuicui cuicui;../fake-data/blob/hipster.txt;32641;21182;2.52;false;2026-08-22T04:43:35;2026-08-22T00:43:58;28
29;soudain;partenaire;../fake-data/blob/hipster.txt;5846;13476;4.91;true;2026-08-22T06:07:51;2026-08-22T04:41:51;29
30;vivre pendant;gâcher;../fake-data/blob/hipster.txt;9111;7905;0.53;false;2026-08-22T01:55:59;2026-08-22T05:51:38;30
