id;name;slug;location;district;address;status;phone;opening_hours;estimated_wait_minutes;people_waiting;avatar_url;cover_url;latitude;longitude;active;created_date;last_modified_date
1;quoique;personnel professionnel même si;groin groin juriste;lectorat pauvre;conseil municipal;CLOSED;0770587740;pendant ouah;89;22497;soit ouch autant;bien que observer aux alentours de;2860.49;32399.25;false;2026-08-22T06:12:50;2026-08-22T11:55:00
2;areu areu;brouiller;mélancolique durant;en bas de trop;sous couleur de;CLOSED;+33 735747302;valoir;8929;18970;ferme gonfler;joliment;24470.36;16547.8;true;2026-08-22T06:28:28;2026-08-22T10:35:31
3;grâce à;patientèle dès que collègue;tellement brusque alors que;turquoise parce que peu;fendre miam également;OPEN;0238060882;trop;3960;9371;camarade équipe pour que;alors que bzzz;5539.59;28083.74;true;2026-08-21T20:27:25;2026-08-21T19:26:37
4;en dehors de trop contre;pendant que toc parfois;autant;gens moderne;miaou;CLOSED;0746716027;ouille;15417;32691;au défaut de pis zzzz;passer à moins de athlète;14956.33;3301.97;true;2026-08-22T12:57:29;2026-08-22T06:48:43
5;d’autant que;introduire si bien que ouille;auprès de;jeune enfant soucier;là ding;OPEN;+33 595057885;ouille extatique sans que;24709;7417;soit perplexe;bien que;8867.54;21658.58;true;2026-08-22T14:58:38;2026-08-22T01:35:14
6;de;renvoyer marron au prix de;renaître animer;disparaître ferme;baisser en dehors de;CLOSED;0636742496;ding sitôt que gratis;16699;3285;de façon à ce que actionnaire;lors de jusqu’à ce que du moment que;30420.73;18892.17;true;2026-08-22T07:10:57;2026-08-21T23:57:31
7;pacifique de;pour trop;aïe creuser chez;au dépens de;antagoniste derechef actionnaire;OPEN;+33 106062858;évacuer;17276;28148;maîtriser;rédaction de peur que;30326.15;4794.35;false;2026-08-22T11:21:41;2026-08-21T22:01:27
8;dans la mesure où;préserver;mériter;en dépit de badaboum;alentour à côté de;OPEN;+33 677207588;pacifique;28961;7334;ouin;asseoir;11029.11;16707.15;true;2026-08-22T12:54:56;2026-08-22T09:48:33
9;conquérir sauvage reconstituer;lectorat;pénétrer sans oser;personnel professionnel;en bas de déplacer;CLOSED;0229698322;disposer tant drelin;18850;12844;fade au point que si;tant que peut-être pendant que;2785.82;28391.29;false;2026-08-22T16:28:27;2026-08-22T04:28:01
10;au-devant;si;dès que;à la faveur de conformer;pourvu que quitte à dense;CLOSED;+33 592636574;équipe de recherche;26498;10178;intrépide vu que;aussi pousser;21086.01;8117.5;false;2026-08-22T14:56:45;2026-08-22T12:42:50
11;à seule fin de incalculable rectorat;aimable;sans bzzz économiser;tout;de sorte que coac coac actionnaire;CLOSED;+33 535523950;turquoise tranquille;1636;10731;de peur que;administration suivant;30203.65;12525.5;false;2026-08-21T23:12:26;2026-08-22T10:20:51
12;autour de suivre de sorte que;spécialiste conseil municipal que;de façon à ce que;collègue main-d’œuvre vétuste;espiègle;CLOSED;0215893214;pas mal;22167;22297;sauf à loufoque mélancolique;guide arrière;6196.62;19245.26;true;2026-08-21T21:23:09;2026-08-22T13:25:08
13;ronron de façon à si bien que;jadis alors raide;hebdomadaire;extatique areu areu malgré;main-d’œuvre;CLOSED;0227777373;à même malade groin groin;21642;7917;grrr efficace;refermer;1731.27;31595.29;true;2026-08-21T20:27:07;2026-08-22T01:08:16
14;d'après chef ferme;communauté étudiante;après que;loin de jusque porte-parole;de sorte que boucher;OPEN;0502135249;trop administration;25944;9195;aïe commis de cuisine;psitt promouvoir;2770.21;21460.92;false;2026-08-22T08:00:51;2026-08-21T18:44:30
15;de sorte que durant;tchou tchouu;direction;gestionnaire préserver;concernant ding oups;CLOSED;+33 382954998;simple;6469;4023;pallier prout;membre titulaire aussitôt;5916.54;11960.35;false;2026-08-22T08:22:23;2026-08-22T07:16:38
