id;ticket_number;owner_name;owner_type;status;category;people_ahead;estimated_wait_minutes;item_count;served_at;cancelled_at;created_date;last_modified_date;salon_id
1;11080;mériter avaler;CUSTOM;SERVED;HISTORY;20358;3463;8534;2026-08-21T21:05:34;2026-08-22T11:44:43;2026-08-22T17:42:46;2026-08-22T15:59:33;1
2;11781;grouper à même;SELF;CANCELLED;ACTIVE;4800;32529;19914;2026-08-22T14:36:23;2026-08-22T16:05:17;2026-08-22T13:19:48;2026-08-22T07:24:03;2
3;15489;ouf;SELF;YOUR_TURN;ACTIVE;25790;32414;7917;2026-08-22T18:05:06;2026-08-21T21:54:06;2026-08-21T18:22:14;2026-08-22T09:41:35;3
4;4449;ainsi;RELATIVE;YOUR_TURN;HISTORY;12590;13630;31660;2026-08-22T10:28:30;2026-08-21T22:20:48;2026-08-22T06:09:34;2026-08-21T23:26:26;4
5;7481;approximativement proche apparemment;SELF;COMPLETED;ACTIVE;21679;20166;25866;2026-08-22T15:36:27;2026-08-21T18:57:07;2026-08-22T03:43:13;2026-08-22T06:32:18;5
6;32483;si bien que;CUSTOM;CANCELLED;ACTIVE;15324;30379;31037;2026-08-21T19:50:04;2026-08-22T17:34:52;2026-08-21T20:44:41;2026-08-22T15:01:09;6
7;1892;approximativement cyan psitt;RELATIVE;YOUR_TURN;HISTORY;22621;11545;11803;2026-08-22T16:15:07;2026-08-22T09:36:59;2026-08-22T06:39:50;2026-08-22T00:09:21;7
8;4930;broum loufoque en dedans de;RELATIVE;COMPLETED;ACTIVE;3356;28604;16933;2026-08-22T14:30:20;2026-08-22T08:04:00;2026-08-21T23:59:01;2026-08-21T20:06:47;8
9;24950;turquoise immense;RELATIVE;WAITING;HISTORY;24233;20569;8335;2026-08-21T18:15:18;2026-08-22T04:04:19;2026-08-22T12:43:41;2026-08-22T13:58:26;9
10;16996;agréable empêcher;SELF;YOUR_TURN;HISTORY;21548;1611;8354;2026-08-22T04:51:00;2026-08-21T20:09:40;2026-08-22T00:57:22;2026-08-22T04:27:13;10
11;8668;tant que juriste coudre;RELATIVE;CANCELLED;HISTORY;32119;30796;22879;2026-08-22T12:32:19;2026-08-22T10:14:59;2026-08-22T07:35:45;2026-08-22T02:42:41;11
12;4116;fonctionnaire;SELF;CANCELLED;HISTORY;15136;19360;13749;2026-08-22T14:47:49;2026-08-21T21:34:48;2026-08-22T09:44:46;2026-08-21T22:06:20;12
13;31042;de sorte que assez;CUSTOM;COMPLETED;ACTIVE;13233;2288;28357;2026-08-22T12:22:33;2026-08-22T02:00:01;2026-08-22T00:28:09;2026-08-22T00:53:06;13
14;5800;quoique conquérir;RELATIVE;SERVED;HISTORY;21122;26403;11984;2026-08-22T09:10:32;2026-08-22T06:14:59;2026-08-22T04:38:38;2026-08-22T00:13:24;14
15;8758;psitt souple loin;RELATIVE;YOUR_TURN;HISTORY;12065;1326;24163;2026-08-22T04:58:26;2026-08-22T06:45:03;2026-08-22T11:43:15;2026-08-22T13:09:38;15
16;21463;expédier recommander ci;SELF;COMPLETED;HISTORY;12705;17109;11498;2026-08-22T03:46:28;2026-08-22T10:35:51;2026-08-22T14:49:49;2026-08-22T17:16:30;16
17;24672;porte-parole au-dedans de;CUSTOM;SERVED;HISTORY;9426;8470;21673;2026-08-21T21:18:29;2026-08-22T00:52:33;2026-08-21T21:52:21;2026-08-22T06:58:23;17
18;8560;athlète;RELATIVE;COMPLETED;ACTIVE;20803;30528;10404;2026-08-22T14:37:19;2026-08-22T12:34:10;2026-08-22T05:42:37;2026-08-22T00:43:47;18
19;18741;par suite de;RELATIVE;COMPLETED;ACTIVE;3411;808;30911;2026-08-22T00:43:19;2026-08-22T10:11:42;2026-08-22T08:24:01;2026-08-22T04:59:57;19
